name,category_name,category_label,level1_category_name,level2_category_name,level3_category_name,level4_category_name,level5_category_name,level6_category_name,latitude,longitude
Aris Bbq,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.36013059269572,-71.0545482125941
Aris Eat Barbecue,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.359690827167476,-71.05600045991332
Arizona BBQ,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.3293874310036,-71.08454376970447
Back Bay BBQ,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.366509,-71.062759
Backyard BBQ,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.33850117802442,-71.07460588791973
Che-Chi's Bar-BQ,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.347425557400804,-71.09642688759024
Ciccone Rooftop Bar & Grille,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.33408012044878,-71.03512477347476
Cochon 555,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.348920756096916,-71.08004009107434
Dave B's Smokehouse,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.375107744909094,-71.06145064218639
Eugene's Roofie Roof,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.33986755092209,-71.08128507298505
Go Right Grill,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.37719431316355,-71.05959859181256
Hidden Barbeque,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.34630164793207,-71.05081271467864
Jon's BBQ Courtyard,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.33468587260287,-71.02867062082743
Kao Bbq,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.35331242009953,-71.13260713371072
Karo's BBQ / Chicken Kebab,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.35024,-71.076676
Larry J's BBQ Cafe,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.34832502359337,-71.03961167011424
Linwood Grill & Barbecue,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.34253991144586,-71.09946580228373
M&M BBQ,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.322108666648326,-71.06233517010763
M&M Ribs,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.32977880174687,-71.07512352786884
M&M Ribs @ SOWA,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.33110073315655,-71.0674376444978
Naksan Korean Bbq,Korean BBQ Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Korean Restaurant > Korean BBQ Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Korean Restaurant,Korean BBQ Restaurant,,42.34853075754044,-71.13906436001695
Omi Korean Grill,Korean BBQ Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Korean Restaurant > Korean BBQ Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Korean Restaurant,Korean BBQ Restaurant,,42.342139,-71.086024
Pinch's Peener Palace of Pork Products,BBQ Joint,Dining and Drinking > Restaurant > BBQ Joint,Dining and Drinking,Restaurant,BBQ Joint,,,,42.3278211421749,-71.04806271900284
