category,restaurant_count,percentage
Dining and Drinking > Restaurant,577,20.15
Dining and Drinking > Restaurant > Mexican Restaurant,275,9.6
Dining and Drinking > Restaurant > Pizzeria,143,4.99
Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant,118,4.12
Dining and Drinking > Restaurant > Fast Food Restaurant,116,4.05
Dining and Drinking > Restaurant > American Restaurant,113,3.95
Dining and Drinking > Restaurant > Sandwich Spot,96,3.35
Dining and Drinking > Restaurant > Mexican Restaurant > Taco Restaurant,86,3.0
Dining and Drinking > Restaurant > Burger Joint,80,2.79
Dining and Drinking > Restaurant > BBQ Joint,79,2.76
Dining and Drinking > Restaurant > Asian Restaurant > Vietnamese Restaurant,73,2.55
Dining and Drinking > Restaurant > Deli,58,2.03
Dining and Drinking > Restaurant > Asian Restaurant > Thai Restaurant,57,1.99
Dining and Drinking > Restaurant > Southern Food Restaurant,56,1.96
Dining and Drinking > Restaurant > Seafood Restaurant,55,1.92
Dining and Drinking > Restaurant > Asian Restaurant,54,1.89
Dining and Drinking > Restaurant > Vegan and Vegetarian Restaurant,52,1.82
Dining and Drinking > Restaurant > Fried Chicken Joint,48,1.68
Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant,47,1.64
Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,42,1.47
Dining and Drinking > Restaurant > Asian Restaurant > Korean Restaurant,41,1.43
Dining and Drinking > Restaurant > Mexican Restaurant > Burrito Restaurant,40,1.4
Dining and Drinking > Restaurant > Italian Restaurant,33,1.15
Dining and Drinking > Restaurant > Hot Dog Joint,32,1.12
Dining and Drinking > Restaurant > African Restaurant > Ethiopian Restaurant,31,1.08
Dining and Drinking > Restaurant > Indian Restaurant,30,1.05
Dining and Drinking > Restaurant > Latin American Restaurant,26,0.91
Dining and Drinking > Restaurant > Mediterranean Restaurant,24,0.84
Dining and Drinking > Restaurant > Wings Joint,22,0.77
Dining and Drinking > Restaurant > Middle Eastern Restaurant,20,0.7
Dining and Drinking > Restaurant > Asian Restaurant > Filipino Restaurant,18,0.63
Dining and Drinking > Restaurant > African Restaurant,17,0.59
Dining and Drinking > Restaurant > Cajun and Creole Restaurant,17,0.59
Dining and Drinking > Restaurant > Diner,16,0.56
Dining and Drinking > Restaurant > Caribbean Restaurant,15,0.52
Dining and Drinking > Restaurant > Latin American Restaurant > Salvadoran Restaurant,13,0.45
Dining and Drinking > Restaurant > American Restaurant > New American Restaurant,13,0.45
Dining and Drinking > Restaurant > Asian Restaurant > Noodle Restaurant,12,0.42
Dining and Drinking > Restaurant > Gastropub,12,0.42
