name,category_name,category_label,level1_category_name,level2_category_name,level3_category_name,level4_category_name,level5_category_name,level6_category_name,latitude,longitude
"""Drew's Brews"" Microbrewery",Brewery,Dining and Drinking > Brewery,Dining and Drinking,Brewery,,,,,42.34326411054095,-71.08715243041996
#1 Chinese Food,Chinese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Chinese Restaurant,,,42.3291139409999,-71.0836044398769
#Arnie,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.34689014804837,-71.08085278177255
#BURRiTOFACEDD HQ,Burrito Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant > Burrito Restaurant,Dining and Drinking,Restaurant,Mexican Restaurant,Burrito Restaurant,,,42.35338274594361,-71.05268047284112
#BlindTiger,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.35326747160922,-71.06232423639712
#NogUp5 - #bmm At Night,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.34704236234145,-71.09548960212693
#RumRedefined @ The Cyclorama,Cocktail Bar,Dining and Drinking > Bar > Cocktail Bar,Dining and Drinking,Bar,Cocktail Bar,,,,42.344483360013065,-71.0711788187638
#wjchat + #socjourn at #ONA11 Meetup,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.346181247382106,-71.07514832850873
$1 Sushi Express,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.35040512383661,-71.13199518068028
1 Hanson St,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.34355191863457,-71.06944384066321
"1 southpoint drive, dorchester,",Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.35233270716162,-71.06554480624251
1/11 Shakedown Street,Wine Bar,Dining and Drinking > Bar > Wine Bar,Dining and Drinking,Bar,Wine Bar,,,,42.38262036136386,-71.07150736011431
1/2 Time Pizza,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.365749,-71.062237
10 Garden Ct Roofdeck,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.36424675706623,-71.05314405500107
10 Otis Place Condo Association,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.35704676149045,-71.0723730422574
100% Delicias Express,Caribbean Restaurant,Dining and Drinking > Restaurant > Caribbean Restaurant,Dining and Drinking,Restaurant,Caribbean Restaurant,,,,42.3127952091814,-71.11382443429969
1000 Washington St Cafeteria,Café,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",Dining and Drinking,"Cafe, Coffee, and Tea House",Café,,,,42.34591437741658,-71.06429866216408
1000Degreepizza,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.359161540522294,-71.05909453884348
101 Bakery,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.351288778113215,-71.06062732372041
1010 mass ave cafe,Breakfast Spot,Dining and Drinking > Breakfast Spot,Dining and Drinking,Breakfast Spot,,,,,42.327293,-71.067405
103D,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.337165310468926,-71.09769605778449
110 Grill,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.32497970421583,-71.06171607971191
111 East,Thai Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Thai Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Thai Restaurant,,,42.35415441446679,-71.04563408672318
115 Salem Roofdeck,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.364366,-71.05556
"1245 commonwealth ave  allston, MA",Korean Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Korean Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Korean Restaurant,,,42.35029549547744,-71.13190748390711
1260 Boylston,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.34479245691483,-71.09603631141697
1310,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.306097147157566,-71.05857039280669
1315B 婦人科医の酒,Sake Bar,Dining and Drinking > Bar > Sake Bar,Dining and Drinking,Bar,Sake Bar,,,,42.34917410010715,-71.10395550955691
140 Supper Club,Diner,Dining and Drinking > Restaurant > Diner,Dining and Drinking,Restaurant,Diner,,,,42.34903341922553,-71.07616331241412
145 Marty's,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.35461318042243,-71.14519463555298
148 hillside st,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.33117752793474,-71.106343173674
14th floor can,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.35617789746316,-71.0582460386962
15 Hecla St,Cocktail Bar,Dining and Drinking > Bar > Cocktail Bar,Dining and Drinking,Bar,Cocktail Bar,,,,42.30708372925716,-71.05935727583642
15 Keswick,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.345496,-71.10579
15 Revere Street,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.35968435535568,-71.06672442518834
163 Vietnamese Sandwiches & Bubble Tea,Vietnamese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Vietnamese Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Vietnamese Restaurant,,,42.35132764332276,-71.06123220444961
180 Cafe 面包工坊,Bakery,Dining and Drinking > Bakery,Dining and Drinking,Bakery,,,,,42.35173272190498,-71.05983745860428
180 Commonwealth Ave,Beer Garden,Dining and Drinking > Bar > Beer Garden,Dining and Drinking,Bar,Beer Garden,,,,42.35100602882605,-71.0795414211313
1801,Lounge,Dining and Drinking > Bar > Lounge,Dining and Drinking,Bar,Lounge,,,,42.353815196170544,-71.06384315674899
18th Floor Balcony,Wine Bar,Dining and Drinking > Bar > Wine Bar,Dining and Drinking,Bar,Wine Bar,,,,42.33451843261719,-71.10100555419922
19 West Coffee,Coffee Shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",Dining and Drinking,"Cafe, Coffee, and Tea House",Coffee Shop,,,,42.34689014804837,-71.08085278177255
19 blackstone market,Moroccan Restaurant,Dining and Drinking > Restaurant > Moroccan Restaurant,Dining and Drinking,Restaurant,Moroccan Restaurant,,,,42.3614465283629,-71.05631946588309
1928 Beacon Hill,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.35803623701689,-71.06973671849956
1928 Club,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.365971,-71.062838
1st Base Deck,Food Stand,Dining and Drinking > Food Stand,Dining and Drinking,Food Stand,,,,,42.34575475444008,-71.0974645614624
2 Gays & a Girl's Bar,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.3494970403241,-71.15481176745024
200 Northampton St,Karaoke Bar,Dining and Drinking > Bar > Karaoke Bar,Dining and Drinking,Bar,Karaoke Bar,,,,42.33767423488377,-71.07998453684398
209 Boston,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.348597297313134,-71.07229930036996
20th Floor Kitchen,Cafeteria,Dining and Drinking > Cafeteria,Dining and Drinking,Cafeteria,,,,,42.3497478961358,-71.07447993337028
21st Amendment,Pub,Dining and Drinking > Bar > Pub,Dining and Drinking,Bar,Pub,,,,42.3582766995619,-71.06278264342059
22 Fisher - The Fish,Sports Bar,Dining and Drinking > Bar > Sports Bar,Dining and Drinking,Bar,Sports Bar,,,,42.32712383409749,-71.10085092354745
224 Boston Street Restaurant,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,Dining and Drinking,Restaurant,American Restaurant,,,,42.32236159953342,-71.06098757425853
24 Chester,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.35172570335378,-71.12890248540329
24 Hour Pizza Delivery,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,Dining and Drinking,Restaurant,Pizzeria,,,,42.284796904709054,-71.09209142285744
24 Symphony,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.342769550031676,-71.0881096787219
24 Vinton Roof Deck,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.32968306359424,-71.0536919835812
24/6,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.34336471557617,-71.08711242675781
25 Dorchester Street,Brewery,Dining and Drinking > Brewery,Dining and Drinking,Brewery,,,,,42.33698358480846,-71.04401679590016
276 Parker Hill Ave,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.32822203231158,-71.09965529220533
278A shawmut ave,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.34300330133231,-71.069456636815
28 Glenville Rugby House,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.35045927487933,-71.13257967933694
281 Summer st,Beer Garden,Dining and Drinking > Bar > Beer Garden,Dining and Drinking,Bar,Beer Garden,,,,42.34987272962114,-71.05006074544112
28Edgy,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.3458421238304,-71.08776897463665
29 Craterside,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.28197505539738,-71.05401032838913
29 Telly,Winery,Dining and Drinking > Winery,Dining and Drinking,Winery,,,,,42.33285213608903,-71.04963458805837
2Twenty2,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.364077639701726,-71.06112405028804
30 Emerson,Speakeasy,Dining and Drinking > Bar > Speakeasy,Dining and Drinking,Bar,Speakeasy,,,,42.33664176972842,-71.04298942648943
300 Saratoga Cafe,Italian Restaurant,Dining and Drinking > Restaurant > Italian Restaurant,Dining and Drinking,Restaurant,Italian Restaurant,,,,42.378469173257564,-71.03193728020473
302 Summit,Brewery,Dining and Drinking > Brewery,Dining and Drinking,Brewery,,,,,42.34463488925193,-71.13937459682262
311 Omakase,Sushi Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant > Sushi Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,,42.343132,-71.073573
32 Prince St.,Dive Bar,Dining and Drinking > Bar > Dive Bar,Dining and Drinking,Bar,Dive Bar,,,,42.310538228835,-71.12130206924205
33 Restaurant & Lounge,Cocktail Bar,Dining and Drinking > Bar > Cocktail Bar,Dining and Drinking,Bar,Cocktail Bar,,,,42.34823756263953,-71.07319067414782
33.12,Dumpling Restaurant,Dining and Drinking > Restaurant > Dumpling Restaurant,Dining and Drinking,Restaurant,Dumpling Restaurant,,,,42.347709549563405,-71.08529357819528
354 Congress Fine Dining,Restaurant,Dining and Drinking > Restaurant,Dining and Drinking,Restaurant,,,,,42.350531929494466,-71.04842334889825
364 Rooftop Bliss,Bar,Dining and Drinking > Bar,Dining and Drinking,Bar,,,,,42.333201953826105,-71.11138651009409
37 Cooper Street,African Restaurant,Dining and Drinking > Restaurant > African Restaurant,Dining and Drinking,Restaurant,African Restaurant,,,,42.364189692189534,-71.05715593250626
38.13,Asian Restaurant,Dining and Drinking > Restaurant > Asian Restaurant,Dining and Drinking,Restaurant,Asian Restaurant,,,,42.3474901624341,-71.08520852533807
